CVEGEO,NOMGEO
20112,San Baltazar Chichicápam
20113,San Baltazar Loxicha
20102,San Andrés Zautla
20131,San Dionisio Ocotepec
20103,San Antonino Castillo Velasco
20105,San Antonino Monte Verde
20107,San Antonio de la Cal
20110,San Antonio Sinicahua
20480,Santiago Nundiche
20109,San Antonio Nanahuatípam
20108,San Antonio Huitepec
20111,San Antonio Tepetlapa
20493,Santiago Tillo
20114,San Baltazar Yatzachi el Bajo
20508,Santo Domingo Chihuitán
20115,San Bartolo Coyotepec
20116,San Bartolomé Ayautla
20118,San Bartolomé Quialana
20497,Santiago Yaitepec
20119,San Bartolomé Yucuañe
20120,San Bartolomé Zoogocho
20121,San Bartolo Soyaltepec
20521,Santo Domingo Tonaltepec
20122,San Bartolo Yautepec
20498,Santiago Yaveo
20123,San Bernardo Mixtepec
20124,San Blas Atempa
20125,San Carlos Yautepec
20151,San Francisco Teopan
20199,San Juan Ihualtepec
20139,San Francisco Chapulapa
20126,San Cristóbal Amatlán
20127,San Cristóbal Amoltepec
20128,San Cristóbal Lachirioag
20129,San Cristóbal Suchixtlahuaca
20130,San Dionisio del Mar
20132,San Dionisio Ocotlán
20133,San Esteban Atatlahuca
20134,San Felipe Jalapa de Díaz
20135,San Felipe Tejalápam
20223,San Juan Yatzona
20136,San Felipe Usila
20137,San Francisco Cahuacuá
20138,San Francisco Cajonos
20142,San Francisco Huehuetlán
20143,San Francisco Ixhuatán
20145,San Francisco Lachigoló
20140,San Francisco Chindúa
20141,San Francisco del Mar
20144,San Francisco Jaltepetongo
20152,San Francisco Tlapancingo
20153,San Gabriel Mixtepec
20146,San Francisco Logueche
20147,San Francisco Nuxaño
20148,San Francisco Ozolotepec
20149,San Francisco Sola
20150,San Francisco Telixtlahuaca
20215,San Juan Sayultepec
20216,San Juan Tabaá
20217,San Juan Tamazola
20157,San Jacinto Amilpas
20160,San Jerónimo Silacayoapilla
20161,San Jerónimo Sosola
20158,San Jacinto Tlacotepec
20159,San Jerónimo Coatlán
20162,San Jerónimo Taviche
20163,San Jerónimo Tecóatl
20164,San Jorge Nuchita
20172,San Juan Achiutla
20238,San Martín de los Cansecos
20165,San José Ayuquila
20166,San José Chiltepec
20237,San Marcos Arteaga
20167,San José del Peñasco
20168,San José Estancia Grande
20171,San José Tenango
20173,San Juan Atepec
20174,Ánimas Trujano
20187,San Juan Coatzóspam
20176,San Juan Bautista Coixtlahuaca
20188,San Juan Colorado
20178,San Juan Bautista Guelache
20241,San Martín Lachilá
20180,San Juan Bautista Lo de Soto
20191,San Juan Chicomezúchil
20181,San Juan Bautista Suchitepec
20196,San Juan Evangelista Analco
20182,San Juan Bautista Tlacoatzintepec
20197,San Juan Guelavía
20183,San Juan Bautista Tlachichilco
20184,San Juan Bautista Tuxtepec
20185,San Juan Cacahuatepec
20186,San Juan Cieneguilla
20189,San Juan Comaltepec
20192,San Juan Chilateca
20193,San Juan del Estado
20561,Yaxe
20194,San Juan del Río
20195,San Juan Diuxi
20200,San Juan Juquila Mixes
20201,San Juan Juquila Vijanos
20202,San Juan Lachao
20218,San Juan Teita
20206,San Juan de los Cués
20210,San Juan Ñumí
20214,San Juan Quiotepec
20208,San Juan Mixtepec
20209,San Juan Mixtepec
20281,San Miguel Tecomatlán
20233,San Lucas Quiaviní
20219,San Juan Teitipac
20220,San Juan Tepeuxila
20221,San Juan Teposcolula
20222,San Juan Yaeé
20224,San Juan Yucuita
20243,San Martín Tilcajete
20225,San Lorenzo
20248,San Mateo del Mar
20226,San Lorenzo Albarradas
20227,San Lorenzo Cacaotepec
20228,San Lorenzo Cuaunecuiltitla
20229,San Lorenzo Texmelúcan
20231,San Lucas Camotlán
20232,San Lucas Ojitlán
20234,San Lucas Zoquiápam
20235,San Luis Amatlán
20236,San Marcial Ozolotepec
20239,San Martín Huamelúlpam
20249,San Mateo Yoloxochitlán
20240,San Martín Itunyoso
20242,San Martín Peras
20260,San Miguel Aloápam
20261,San Miguel Amatitlán
20262,San Miguel Amatlán
20244,San Martín Toxpalan
20263,San Miguel Coatlán
20266,San Miguel del Puerto
20245,San Martín Zacatepec
20246,San Mateo Cajonos
20267,San Miguel del Río
20247,Capulálpam de Méndez
20250,San Mateo Etlatongo
20276,San Miguel Santa Flor
20277,Villa Sola de Vega
20252,San Mateo Peñasco
20253,San Mateo Piñas
20254,San Mateo Río Hondo
20255,San Mateo Sindihui
20256,San Mateo Tlapiltepec
20257,San Melchor Betaza
20258,San Miguel Achiutla
20259,San Miguel Ahuehuetitlán
20268,San Miguel Ejutla
20269,San Miguel el Grande
20272,San Miguel Panixtlahuaca
20273,San Miguel Peras
20284,San Miguel Tilquiápam
20274,San Miguel Piedras
20275,San Miguel Quetzaltepec
20280,Villa Talea de Castro
20282,San Miguel Tenango
20283,San Miguel Tequixtepec
20286,San Miguel Tlacotepec
20295,San Pablo Huixtepec
20285,San Miguel Tlacamama
20288,San Miguel Yotao
20289,San Nicolás
20290,San Nicolás Hidalgo
20292,San Pablo Cuatro Venados
20294,San Pablo Huitzo
20303,San Pedro Cajonos
20299,San Pablo Yaganiza
20296,San Pablo Macuiltianguis
20297,San Pablo Tijaltepec
20304,San Pedro Coxcaltepec Cántaros
20300,San Pedro Amuzgos
20311,San Pedro Jaltepetongo
20301,San Pedro Apóstol
20321,San Pedro Nopala
20302,San Pedro Atoyac
20319,San Pedro Mixtepec
20305,San Pedro Comitancillo
20323,San Pedro Ocotepec
20307,San Pedro Huamelula
20312,San Pedro Jicayán
20313,San Pedro Jocotipac
20314,San Pedro Juchatengo
20331,San Pedro Tidaá
20315,San Pedro Mártir
20316,San Pedro Mártir Quiechapa
20317,San Pedro Mártir Yucuxaco
20318,San Pedro Mixtepec
20320,San Pedro Molinos
20322,San Pedro Ocopetatillo
20436,Santa María Texcatitlán
20325,San Pedro Quiatoni
20360,Santa Ana Zegache
20326,San Pedro Sochiápam
20327,San Pedro Tapanatepec
20328,San Pedro Taviche
20335,San Pedro Yaneri
20336,San Pedro Yólox
20339,San Pedro y San Pablo Teposcolula
20341,San Pedro Yucunama
20342,San Raymundo Jalpan
20368,Santa Catarina Minas
20343,San Sebastián Abasolo
20346,San Sebastián Nicananduta
20345,San Sebastián Ixcapa
20356,Santa Ana del Valle
20347,San Sebastián Río Hondo
20348,San Sebastián Tecomaxtlahuaca
20349,San Sebastián Teitipac
20359,Santa Ana Yareni
20350,San Sebastián Tutla
20352,San Simón Zahuatlán
20353,Santa Ana
20354,Santa Ana Ateixtlahuaca
20355,Santa Ana Cuauhtémoc
20358,Santa Ana Tlapacoyan
20361,Santa Catalina Quierí
20362,Santa Catarina Cuixtla
20363,Santa Catarina Ixtepeji
20364,Santa Catarina Juquila
20369,Santa Catarina Quiané
20373,Santa Catarina Zapoquila
20370,Santa Catarina Tayata
20371,Santa Catarina Ticuá
20372,Santa Catarina Yosonotú
20374,Santa Cruz Acatepec
20381,Santa Cruz Tacache de Mina
20375,Santa Cruz Amilpas
20376,Santa Cruz de Bravo
20382,Santa Cruz Tacahua
20383,Santa Cruz Tayata
20408,Santa María del Rosario
20387,Santa Gertrudis
20384,Santa Cruz Xitla
20386,Santa Cruz Zenzontepec
20414,Santa María Huazolotitlán
20418,Santa María Jalapa del Marqués
20388,Santa Inés del Monte
20390,Santa Lucía del Camino
20391,Santa Lucía Miahuatlán
20424,Santa María Ozolotepec
20464,Santiago Ihuitlán Plumas
20392,Santa Lucía Monteverde
20393,Santa Lucía Ocotlán
20394,Santa María Alotepec
20395,Santa María Apazco
20396,Santa María la Asunción
20397,Heroica Ciudad de Tlaxiaco
20398,Ayoquezco de Aldama
20399,Santa María Atzompa
20400,Santa María Camotlán
20468,Santiago Jocotepec
20470,Santiago Lachiguiri
20402,Santa María Cortijo
20403,Santa María Coyotepec
20430,Santa María Tataltepec
20405,Villa de Chilapa de Díaz
20406,Santa María Chilchotla
20432,Santa María Temaxcalapa
20409,Santa María del Tule
20410,Santa María Ecatepec
20411,Santa María Guelacé
20435,Santa María Tepantlali
20412,Santa María Guienagati
20415,Santa María Ipalapa
20416,Santa María Ixcatlán
20417,Santa María Jacatepec
20420,Santa María Lachixío
20421,Santa María Mixtequilla
20422,Santa María Nativitas
20425,Santa María Pápalo
20426,Santa María Peñoles
20427,Santa María Petapa
20428,Santa María Quiegolani
20471,Santiago Lalopa
20429,Santa María Sola
20431,Santa María Tecomavaca
20433,Santa María Temaxcaltepec
20442,Santa María Yalina
20434,Santa María Teopoxco
20438,Santa María Tlalixtac
20439,Santa María Tonameca
20440,Santa María Totolapilla
20451,Santiago Apoala
20443,Santa María Yavesía
20456,Santiago Cacaloxtepec
20444,Santa María Yolotepec
20445,Santa María Yosoyúa
20569,Santa Inés de Zaragoza
20448,Santa María Zaniza
20449,Santa María Zoquitlán
20450,Santiago Amoltepec
20452,Santiago Apóstol
20462,Santiago Huajolotitlán
20453,Santiago Astata
20454,Santiago Atitlán
20455,Santiago Ayuquililla
20458,Santiago Comaltepec
20459,Villa de Santiago Chazumba
20461,Santiago del Río
20465,Santiago Ixcuintepec
20466,Santiago Ixtayutla
20472,Santiago Laollaga
20473,Santiago Laxopa
20474,Santiago Llano Grande
20510,Santo Domingo Ixcatlán
20475,Santiago Matatlán
20478,Santiago Nacaltepec
20476,Santiago Miltepec
20477,Santiago Minas
20483,Santiago Suchilquitongo
20484,Santiago Tamazola
20485,Santiago Tapextla
20486,Villa Tejúpam de la Unión
20487,Santiago Tenango
20488,Santiago Tepetlapa
20514,Santo Domingo Roayaga
20489,Santiago Tetepec
20490,Santiago Texcalcingo
20491,Santiago Textitlán
20492,Santiago Tilantongo
20494,Santiago Tlazoyaltepec
20495,Santiago Xanica
20496,Santiago Xiacuí
20499,Santiago Yolomécatl
20504,Nuevo Zoquiápam
20501,Santiago Yucuyachi
20505,Santo Domingo Ingenio
20506,Santo Domingo Albarradas
20512,Santo Domingo Ozolotepec
20518,Santo Domingo Tlatayápam
20519,Santo Domingo Tomaltepec
20520,Santo Domingo Tonalá
20522,Santo Domingo Xagacía
20523,Santo Domingo Yanhuitlán
20529,Santos Reyes Yucuná
20527,Santos Reyes Pápalo
20528,Santos Reyes Tepejillo
20530,Santo Tomás Jalieza
20531,Santo Tomás Mazaltepec
20532,Santo Tomás Ocotepec
20533,Santo Tomás Tamazulapan
20534,San Vicente Coatlán
20541,Tanetze de Zaragoza
20535,San Vicente Lachixío
20537,Silacayoápam
20538,Sitio de Xitlapehua
20544,Teococuilco de Marcos Pérez
20539,Soledad Etla
20540,Villa de Tamazulápam del Progreso
20542,Taniche
20543,Tataltepec de Valdés
20545,Teotitlán de Flores Magón
20546,Teotitlán del Valle
20547,Teotongo
20548,Tepelmeme Villa de Morelos
20550,San Jerónimo Tlacochahuaya
20551,Tlacolula de Matamoros
20552,Tlacotepec Plumas
20555,Trinidad Zaachila
20556,La Trinidad Vista Hermosa
20553,Tlalixtac de Cabrera
20558,Valerio Trujano
20554,Totontepec Villa de Morelos
20559,San Juan Bautista Valle Nacional
20560,Villa Díaz Ordaz
20557,Unión Hidalgo
20563,Yogana
20564,Yutanduchi de Guerrero
20565,Villa de Zaachila
20567,Zapotitlán Lagunas
21086,Jalpan
21088,Jonotla
21120,San Antonio Cañada
21201,Xochiltepec
21077,Hueytlalpan
21177,Tlacotepec de Benito Juárez
21217,Zoquitlán
21113,Piaxtla
21136,San Miguel Xoxtla
21210,Zapotitlán de Méndez
21089,Jopala
21131,San Juan Atzompa
21018,Atexcal
21054,Chignautla
21213,Zihuateutla
21127,San Jerónimo Xayacatlán
21129,San José Miahuatlán
21130,San Juan Atenco
21174,Teziutlán
21176,Tilapa
21115,Quecholac
21110,Palmar de Bravo
21169,Tepexi de Rodríguez
21172,Tetela de Ocampo
21179,Tlachichuca
21124,San Gabriel Chilac
21121,San Diego la Mesa Tochimiltzingo
21122,San Felipe Teotlalcingo
21123,San Felipe Tepatlán
21044,Cuyoaco
21082,Ixcaquixtla
21085,Izúcar de Matamoros
21036,Coyomeapan
21202,Xochitlán de Vicente Suárez
21203,Xochitlán Todos Santos
21061,Eloxochitlán
21062,Epatlán
21143,San Salvador el Verde
21060,Domingo Arenas
21104,Nopalucan
21075,Hueyapan
21078,Huitzilan de Serdán
21079,Huitziltepec
21072,Huehuetla
21073,Huehuetlán el Chico
21074,Huejotzingo
21068,Hermenegildo Galeana
21070,Huatlatlauca
21071,Huauchinango
21063,Esperanza
21064,Francisco Z. Mena
21067,Guadalupe Victoria
21013,Altepexi
21015,Amozoc
21016,Aquixtla
21012,Aljojuca
21197,Xicotepec
21194,Venustiano Carranza
21195,Vicente Guerrero
21188,Tochimilco
21189,Tochtepec
21190,Totoltepec de Guerrero
21185,Tlapanalá
21186,Tlatlauquitepec
21187,Tlaxco
21183,Tlaola
21184,Tlapacoya
21142,San Salvador el Seco
21140,San Pedro Cholula
21141,San Pedro Yeloixtlahuaca
21139,San Pablo Anicano
21137,San Nicolás Buenos Aires
21138,San Nicolás de los Ranchos
21134,San Matías Tlalancaleca
21135,San Miguel Ixitlán
21126,San Jerónimo Tecuanipan
21058,Chilchotla
21059,Chinantla
21055,Chila
21056,Chila de la Sal
21057,Honey
21049,Chiconcuautla
21050,Chichiquila
21051,Chietla
21042,Cuayuca de Andrade
21043,Cuetzalan del Progreso
21045,Chalchicomula de Sesma
21039,Cuautempan
21040,Cuautinchán
21041,Cuautlancingo
21020,Atoyatempan
21116,Quimixtlán
21111,Pantepec
21112,Petlalcingo
21114,Puebla
21107,Olintla
21108,Oriental
21109,Pahuatlán
21102,Nealtican
21103,Nicolás Bravo
21106,Ocoyucan
21099,Cañada Morelos
21100,Naupan
21101,Nauzontla
21098,Molcaxac
21167,Tepetzintla
21164,Tepeaca
21165,Tepemaxalco
21166,Tepeojuma
21160,Teotlalco
21161,Tepanco de López
21163,Tepatlaxco de Hidalgo
21155,Tecomatlán
21156,Tehuacán
21159,Teopantlán
21150,Huehuetlán el Grande
21153,Tecali de Herrera
21154,Tecamachalco
21119,San Andrés Cholula
21145,San Sebastián Tlacotepec
21149,Santiago Miahuatlán
21094,Libres
21096,Mazapiltepec de Juárez
21128,San José Chiapa
21087,Jolalpan
21092,Juan N. Méndez
21093,Lafragua
21081,Ixcamilpa de Guerrero
21083,Ixtacamaxtitlán
21084,Ixtepec
21033,Cohuecan
21035,Coxcatlán
21037,Coyotepec
21029,Caxhuacan
21031,Coatzingo
21032,Cohetzala
21025,Ayotoxco de Guerrero
21026,Calpan
21027,Caltepec
21022,Atzitzihuacán
21011,Albino Zertuche
21065,General Felipe Ángeles
21066,Guadalupe
21007,Ahuatlán
21008,Ahuazotepec
21004,Acatzingo
21005,Acteopan
21006,Ahuacatlán
21001,Acajete
21002,Acateno
21003,Acatlán
21010,Ajalpan
21076,Hueytamalco
21014,Amixtlán
21178,Tlacuilotepec
21180,Tlahuapan
21196,Xayacatlán de Bravo
21207,Zacapoaxtla
21208,Zacatlán
21017,Atempan
21019,Atlixco
21173,Teteles de Ávila Castillo
21175,Tianguismanalco
21158,Tenampulco
21069,Huaquechula
21209,Zapotitlán
21157,Tehuitzingo
21162,Tepango de Rodríguez
21053,Chignahuapan
21181,Tlaltenango
21206,Zacapala
21211,Zaragoza
21212,Zautla
21152,Soltepec
21205,Yehualtepec
21024,Axutla
21091,Juan Galindo
21095,La Magdalena Tlatlauquitepec
21117,Rafael Lara Grajales
21118,Los Reyes de Juárez
21125,San Gregorio Atzompa
21133,San Martín Totoltepec
21144,San Salvador Huixcolotla
21151,Santo Tomás Hueyotlipan
21171,Tepeyahualco de Cuauhtémoc
21182,Tlanepantla
21214,Zinacatepec
21097,Mixtla
21046,Chapulco
21047,Chiautla
21048,Chiautzingo
21021,Atzala
21028,Camocuautla
21030,Coatepec
21034,Coronango
21038,Cuapiaxtla de Madero
21080,Atlequizayan
21090,Juan C. Bonilla
21170,Tepeyahualco
21168,Tepexco
21052,Chigmecatitlán
21023,Atzitzintla
21204,Yaonáhuac
21147,Santa Inés Ahuatempan
21148,Santa Isabel Cholula
21200,Xochiapulco
21132,San Martín Texmelucan
21146,Santa Catarina Tlaltempan
21198,Xicotlán
21199,Xiutetelco
21105,Ocotepec
21216,Zoquiapan
21215,Zongozotla
21191,Tulcingo
21192,Tuzamapan de Galeana
21193,Tzicatlacoyan
21009,Ahuehuetitla
22012,Pedro Escobedo
22013,Peñamiller
22014,Querétaro
22015,San Joaquín
22016,San Juan del Río
22017,Tequisquiapan
22018,Tolimán
22003,Arroyo Seco
22006,Corregidora
22007,Ezequiel Montes
22009,Jalpan de Serra
22011,El Marqués
22001,Amealco de Bonfil
22002,Pinal de Amoles
22004,Cadereyta de Montes
22005,Colón
22008,Huimilpan
22010,Landa de Matamoros
23002,Felipe Carrillo Puerto
23001,Cozumel
23003,Isla Mujeres
23004,Othón P. Blanco
23008,Solidaridad
23011,Puerto Morelos
23005,Benito Juárez
23006,José María Morelos
23007,Lázaro Cárdenas
23009,Tulum
23010,Bacalar
24034,San Vicente Tancuayalab
24035,Soledad de Graciano Sánchez
24039,Tampamolón Corona
24040,Tamuín
24041,Tanlajás
24028,San Luis Potosí
24030,San Nicolás Tolentino
24031,Santa Catarina
24008,Cerritos
24010,Ciudad del Maíz
24011,Ciudad Fernández
24013,Ciudad Valles
24016,Ebano
24020,Matehuala
24022,Moctezuma
24054,Xilitla
24055,Zaragoza
24015,Charcas
24053,Axtla de Terrazas
24036,Tamasopo
24023,Rayón
24021,Mexquitic de Carmona
24042,Tanquián de Escobedo
24043,Tierra Nueva
24029,San Martín Chalchicuautla
24026,San Antonio
24024,Rioverde
24052,Villa Juárez
24017,Guadalcázar
24019,Lagunillas
24012,Tancanhuitz
24009,Cerro de San Pedro
24003,Aquismón
24004,Armadillo de los Infante
24002,Alaquines
24037,Tamazunchale
24038,Tampacán
24056,Villa de Arista
24058,El Naranjo
24025,Salinas
24027,San Ciro de Acosta
24032,Santa María del Río
24051,Villa Hidalgo
24048,Villa de la Paz
24005,Cárdenas
24006,Catorce
24007,Cedral
24047,Villa de Guadalupe
24018,Huehuetlán
24044,Vanegas
24045,Venado
24049,Villa de Ramos
24050,Villa de Reyes
24046,Villa de Arriaga
24014,Coxcatlán
24033,Santo Domingo
24057,Matlapa
24001,Ahualulco del Sonido 13
25003,Badiraguato
25001,Ahome
25010,El Fuerte
25011,Guasave
25004,Concordia
25005,Cosalá
25015,Salvador Alvarado
25016,San Ignacio
25009,Escuinapa
25012,Mazatlán
25013,Mocorito
25014,Rosario
25017,Sinaloa
25018,Navolato
25002,Angostura
25006,Culiacán
25007,Choix
25008,Elota
26003,Álamos
26045,Opodepe
26033,Huatabampo
26004,Altar
26036,Magdalena
26029,Guaymas
26049,Quiriego
26040,Nácori Chico
26024,Divisaderos
26025,Empalme
26051,Rosario
26052,Sahuaripa
26062,Suaqui Grande
26064,Trincheras
26071,Benito Juárez
26016,Benjamín Hill
26011,Bacoachi
26006,Arizpe
26001,Aconchi
26002,Agua Prieta
26005,Arivechi
26038,Moctezuma
26041,Nacozari de García
26042,Navojoa
26039,Naco
26048,Puerto Peñasco
26010,Bacerac
26012,Bácum
26013,Banámichi
26007,Atil
26014,Baviácora
26015,Bavispe
26017,Caborca
26018,Cajeme
26008,Bacadéhuachi
26044,Ónavas
26009,Bacanora
26019,Cananea
26023,Cumpas
26026,Etchojoa
26020,Carbó
26021,La Colorada
26022,Cucurpe
26027,Fronteras
26028,Granados
26030,Hermosillo
26031,Huachinera
26032,Huásabas
26034,Huépac
26035,Imuris
26037,Mazatán
26043,Nogales
26067,Villa Hidalgo
26046,Oquitoa
26047,Pitiquito
26050,Rayón
26053,San Felipe de Jesús
26054,San Javier
26055,San Luis Río Colorado
26061,Soyopa
26056,San Miguel de Horcasitas
26063,Tepache
26057,San Pedro de la Cueva
26058,Santa Ana
26059,Santa Cruz
26060,Sáric
26065,Tubutama
26066,Ures
26068,Villa Pesqueira
26069,Yécora
26070,General Plutarco Elías Calles
26072,San Ignacio Río Muerto
27012,Macuspana
27014,Paraíso
27015,Tacotalpa
27016,Teapa
27017,Tenosique
27001,Balancán
27002,Cárdenas
27003,Centla
27004,Centro
27005,Comalcalco
27006,Cunduacán
27007,Emiliano Zapata
27008,Huimanguillo
27009,Jalapa
27010,Jalpa de Méndez
27011,Jonuta
27013,Nacajuca
28043,Xicoténcatl
28024,Mier
28025,Miguel Alemán
28020,Mainero
28008,Casas
28027,Nuevo Laredo
28001,Abasolo
28002,Aldama
28003,Altamira
28026,Miquihuana
28028,Nuevo Morelos
28004,Antiguo Morelos
28005,Burgos
28006,Bustamante
28007,Camargo
28009,Ciudad Madero
28010,Cruillas
28011,Gómez Farías
28012,González
28013,Güémez
28014,Guerrero
28015,Gustavo Díaz Ordaz
28016,Hidalgo
28017,Jaumave
28036,San Nicolás
28037,Soto la Marina
28038,Tampico
28039,Tula
28018,Jiménez
28019,Llera
28021,El Mante
28022,Matamoros
28023,Méndez
28029,Ocampo
28030,Padilla
28031,Palmillas
28032,Reynosa
28033,Río Bravo
28034,San Carlos
28035,San Fernando
28040,Valle Hermoso
28041,Victoria
28042,Villagrán
29031,Tetla de la Solidaridad
29026,Santa Cruz Tlaxcala
29007,El Carmen Tequexquitla
29012,Españita
29037,Ziltlaltépec de Trinidad Sánchez Santos
29054,San Lorenzo Axocomanitla
29024,Panotla
29030,Terrenate
29057,Santa Apolonia Teacalco
29059,Santa Cruz Quilehtla
29021,Nanacamilpa de Mariano Arista
29048,La Magdalena Tlaltelulco
29018,Contla de Juan Cuamatzi
29047,Lázaro Cárdenas
29014,Hueyotlipan
29015,Ixtacuixtla de Mariano Matamoros
29060,Santa Isabel Xiloxoxtla
29034,Tlaxco
29032,Tetlatlahuca
29013,Huamantla
29008,Cuapiaxtla
29009,Cuaxomulco
29005,Apizaco
29003,Atlangatepec
29004,Atltzayanca
29002,Apetatitlán de Antonio Carvajal
29043,Yauhquemehcan
29038,Tzompantepec
29040,Xaltocan
29028,Teolocholco
29029,Tepeyanco
29022,Acuamanala de Miguel Hidalgo
29023,Natívitas
29017,Mazatecochco de José María Morelos
29016,Ixtenco
29055,San Lucas Tecopilco
29020,Sanctórum de Lázaro Cárdenas
29044,Zacatelco
29041,Papalotla de Xicohténcatl
29011,Muñoz de Domingo Arenas
29039,Xaloztoc
29001,Amaxac de Guerrero
29058,Santa Catarina Ayometla
29006,Calpulalpan
29046,Emiliano Zapata
29025,San Pablo del Monte
29019,Tepetitla de Lardizábal
29035,Tocatlán
29049,San Damián Texóloc
29051,San Jerónimo Zacualpan
29053,San Juan Huactzinco
29056,Santa Ana Nopalucan
29027,Tenancingo
29050,San Francisco Tetlanohcan
29052,San José Teacalco
29033,Tlaxcala
29036,Totolac
29010,Chiautempan
29045,Benito Juárez
29042,Xicohtzinco
30003,Acayucan
30121,Ozuluama de Mascareñas
30013,Naranjos Amatlán
30014,Amatlán de los Reyes
30045,Cosamaloapan de Carpio
30051,Coyutla
30053,Cuitláhuac
30128,Perote
30126,Paso de Ovejas
30046,Cosautlán de Carvajal
30050,Coxquihui
30131,Poza Rica de Hidalgo
30168,Tequila
30164,Teocelo
30165,Tepatlaxco
30166,Tepetlán
30135,Rafael Delgado
30001,Acajete
30004,Actopan
30145,Soconusco
30146,Sochiapa
30147,Soledad Atzompa
30148,Soledad de Doblado
30149,Soteapan
30150,Tamalín
30130,Playa Vicente
30127,La Perla
30175,Tihuatlán
30178,Tlacotalpan
30180,Tlachichilco
30181,Tlalixcoyan
30182,Tlalnelhuayocan
30183,Tlapacoyan
30102,Martínez de la Torre
30104,Mecayapan
30106,Miahuatlán
30069,Gutiérrez Zamora
30071,Huatusco
30031,Carrillo Puerto
30032,Catemaco
30078,Ixcatepec
30079,Ixhuacán de los Reyes
30203,Zozocolco de Hidalgo
30205,El Higo
30087,Xalapa
30088,Jalcomulco
30089,Jáltipan
30097,Lerdo de Tejada
30111,Moloacán
30112,Naolinco
30010,Altotonga
30120,Oteapan
30122,Pajapan
30123,Pánuco
30124,Papantla
30125,Paso del Macho
30179,Tlacotepec de Mejía
30075,Ignacio de la Llave
30076,Ilamatlán
30108,Minatitlán
30011,Alvarado
30012,Amatitlán
30015,Angel R. Cabada
30016,La Antigua
30017,Apazapan
30117,Omealca
30077,Isla
30080,Ixhuatlán del Café
30081,Ixhuatlancillo
30082,Ixhuatlán del Sureste
30083,Ixhuatlán de Madero
30084,Ixmatlahuacan
30085,Ixtaczoquitlán
30086,Jalacingo
30090,Jamapa
30091,Jesús Carranza
30092,Xico
30093,Jilotepec
30094,Juan Rodríguez Clara
30095,Juchique de Ferrer
30096,Landero y Coss
30109,Misantla
30110,Mixtla de Altamirano
30113,Naranjal
30114,Nautla
30115,Nogales
30163,Tenochtitlán
30002,Acatlán
30005,Acula
30006,Acultzingo
30007,Camarón de Tejeda
30008,Alpatláhuac
30009,Alto Lucero de Gutiérrez Barrios
30018,Aquila
30019,Astacinga
30020,Atlahuilco
30021,Atoyac
30022,Atzacan
30023,Atzalan
30024,Tlaltetela
30025,Ayahualulco
30026,Banderilla
30027,Benito Juárez
30028,Boca del Río
30029,Calcahualco
30030,Camerino Z. Mendoza
30033,Cazones de Herrera
30034,Cerro Azul
30035,Citlaltépetl
30036,Coacoatzintla
30037,Coahuitlán
30038,Coatepec
30039,Coatzacoalcos
30040,Coatzintla
30118,Orizaba
30119,Otatitlán
30041,Coetzala
30042,Colipa
30043,Comapa
30044,Córdoba
30047,Coscomatepec
30048,Cosoleacaque
30049,Cotaxtla
30052,Cuichapa
30054,Chacaltianguis
30055,Chalma
30056,Chiconamel
30057,Chiconquiaco
30058,Chicontepec
30059,Chinameca
30060,Chinampa de Gorostiza
30061,Las Choapas
30062,Chocamán
30063,Chontla
30129,Platón Sánchez
30132,Las Vigas de Ramírez
30133,Pueblo Viejo
30134,Puente Nacional
30193,Veracruz
30064,Chumatlán
30065,Emiliano Zapata
30066,Espinal
30067,Filomeno Mata
30068,Fortín
30070,Hidalgotitlán
30072,Huayacocotla
30073,Hueyapan de Ocampo
30167,Tepetzintla
30169,José Azueta
30170,Texcatepec
30171,Texhuacán
30172,Texistepec
30173,Tezonapa
30174,Tierra Blanca
30176,Tlacojalpan
30177,Tlacolulan
30074,Huiloapan de Cuauhtémoc
30195,Xoxocotla
30098,Magdalena
30099,Maltrata
30100,Manlio Fabio Altamirano
30101,Mariano Escobedo
30103,Mecatlán
30105,Medellín de Bravo
30184,Tlaquilpa
30107,Las Minas
30116,Oluta
30136,Rafael Lucio
30137,Los Reyes
30196,Yanga
30197,Yecuatla
30198,Zacualpan
30138,Río Blanco
30139,Saltabarranca
30140,San Andrés Tenejapan
30141,San Andrés Tuxtla
30142,San Juan Evangelista
30143,Santiago Tuxtla
30144,Sayula de Alemán
30151,Tamiahua
30152,Tampico Alto
30153,Tancoco
30154,Tantima
30155,Tantoyuca
30156,Tatatila
30157,Castillo de Teayo
30158,Tecolutla
30159,Tehuipango
30160,Álamo Temapache
30161,Tempoal
30162,Tenampa
30185,Tlilapan
30186,Tomatlán
30187,Tonayán
30188,Totutla
30189,Tuxpan
30190,Tuxtilla
30191,Ursulo Galván
30192,Vega de Alatorre
30194,Villa Aldama
30199,Zaragoza
30200,Zentla
30201,Zongolica
30202,Zontecomatlán de López y Fuentes
30204,Agua Dulce
30206,Nanchital de Lázaro Cárdenas del Río
30207,Tres Valles
30208,Carlos A. Carrillo
30209,Tatahuicapan de Juárez
30210,Uxpanapa
30211,San Rafael
30212,Santiago Sochiapan
31100,Ucú
31032,Espita
31036,Homún
31058,Peto
31047,Maní
31048,Maxcanú
31052,Motul
31076,Tecoh
31098,Tzucacab
31019,Chemax
31028,Dzilam de Bravo
31002,Acanceh
31006,Buctzotz
31056,Oxkutzcab
31057,Panabá
